groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
pofite;pofitè;2;67 %;;;
pofite;pofité;1;33 %;;;
pedi;pèdi;2;67 %;;;
pedi;pédi;1;33 %;;;
vwayaje;vwayajé;2;67 %;;;
vwayaje;vwayaje;1;33 %;oui;;
kaloj;kaloj;2;67 %;oui;;
kaloj;kalòj;1;33 %;;;
janbet;janbet;2;67 %;oui;;
janbet;janbèt;1;33 %;;;
negres;négrès;2;67 %;;;
negres;nègrès;1;33 %;;;
golet;golèt;2;67 %;;;
golet;gòlèt;1;33 %;;;
blage;blagé;2;67 %;;;
blage;blagè;1;33 %;;;
weee;wèèè;2;67 %;;;
weee;wééé;1;33 %;;;
lode;lòdè;2;67 %;;;
lode;lodè;1;33 %;;;
potoko;potoko;2;67 %;oui;;
potoko;pòtòkò;1;33 %;;;
tere;tèré;2;67 %;;;
tere;téré;1;33 %;;;
elekte;elektè;1;33 %;;;
elekte;élektè;1;33 %;;;
elekte;élekté;1;33 %;;;
asepte;asepté;1;33 %;;;
asepte;asèpté;1;33 %;;;
asepte;asépté;1;33 %;;;
karukera;karukéra;1;50 %;;;
karukera;karukera;1;50 %;oui;;
toupre;touprè;1;50 %;;;
toupre;toupré;1;50 %;;;
eklo;éklo;1;50 %;;;
eklo;éklò;1;50 %;;;
kowosol;kowosol;1;50 %;oui;;
kowosol;kowosòl;1;50 %;;;
prezante;prezanté;1;50 %;;;
prezante;prézanté;1;50 %;;;
latenn;latenn;1;50 %;oui;;
latenn;latènn;1;50 %;;;
vandredi;vandrédi;1;50 %;;;
vandredi;vandrèdi;1;50 %;;;
agoch;agòch;1;50 %;;;
agoch;agoch;1;50 %;oui;;
lise;lise;1;50 %;oui;;
lise;lisé;1;50 %;;;
lanmes;lanmès;1;50 %;;;
lanmes;lanmes;1;50 %;oui;;
janvye;janvye;1;50 %;oui;;
janvye;janvyé;1;50 %;;;
demare;démarè;1;50 %;;;
demare;démaré;1;50 %;;;
estasyon;èstasyon;1;50 %;;;
estasyon;estasyon;1;50 %;oui;;
model;modèl;1;50 %;;;
